CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,31,b,8,235,173,300,298,1014,0.000411228296526741,0.00338908246505764,0.0194917228625861,0.0565900767054477,0.14521763655557,0.0096550138684262,0,0,0
DNK,2007,32,m,3,119,109,157,112,500,0.000301020926501914,0.00340079577301651,0.0257211625187838,0.0712653607946686,0.182884260273397,0.0096133337861478,0,0,0
DNK,2007,32,f,3,109,67,179,238,596,0.000316194546431299,0.00317335625555744,0.0144464839734207,0.0577745692584495,0.165314151255956,0.0112427247937048,0,0,0
DNK,2007,32,b,6,228,176,336,350,1096,0.000308421222395056,0.00328813107248145,0.0198297296174287,0.0633808859101014,0.170557626827012,0.0104357940826382,0,0,0
DNK,2007,33,m,3,113,99,137,92,444,0.000301020926501914,0.0032293270785787,0.0233614228381615,0.0621869708845198,0.150226356653147,0.00853664040209925,0,0,0
DNK,2007,33,f,2,81,71,135,214,503,0.000210796364287533,0.00235818217156103,0.0153089606285503,0.0435729991614004,0.148643816675524,0.00948840699871396,0,0,0
DNK,2007,33,b,5,194,170,272,306,947,0.000257017685329213,0.00279779573711141,0.0191537161077436,0.0513083362129392,0.14911609659733,0.00901705930315544,0,0,0
DNK,2007,34,m,4,108,91,149,108,460,0.000401361235335885,0.00308643649988053,0.0214736310936636,0.0676340048306091,0.176352679549347,0.00884426708325597,0,0,0
DNK,2007,34,f,4,68,73,145,190,480,0.000421592728575065,0.00197970848970556,0.0157401989561151,0.0468006287289116,0.131973482095091,0.0090545434580173,0,0,0
DNK,2007,34,b,8,176,164,294,298,940,0.000411228296526741,0.00253820644191551,0.0184777025980585,0.0554582751713387,0.14521763655557,0.00895040733364954,0,0,0
DNK,2007,35,m,4,135,107,151,105,502,0.000401361235335885,0.00385804562485066,0.0252492145826594,0.068541843821624,0.171453994006309,0.00965178712129239,0,0,0
DNK,2007,35,f,2,75,96,130,201,504,0.000210796364287533,0.00218350201070466,0.0206994397231103,0.0419591843776449,0.139614052111123,0.00950727063091816,0,0,0
DNK,2007,35,b,6,210,203,281,306,1006,0.000308421222395056,0.00302854177728555,0.0228717904110115,0.0530060385141026,0.14911609659733,0.00957884018899089,0,0,0
DNK,2007,36,m,3,131,106,121,84,445,0.000301020926501914,0.00374373316189212,0.0250132406145971,0.0549242589564007,0.137163195205047,0.00855586706967154,0,0,0
