Dato,Test,Data,Correct5000,Correct7500,Correct10000,Index5000,Index7500,Index10000
2021-03-25,18258,121,42.93374886250102,59.38432424352273,74.75199851332918,0.35482437076447126,0.49077953920266715,0.6177851116804065
2021-03-26,16917,132,49.78416819414465,68.85956303753667,86.67927132928322,0.37715278934958063,0.5216633563449748,0.6566611464339639
2021-03-27,12632,120,57.17149592354652,79.0774330535214,99.54135596145098,0.47642913269622106,0.658978608779345,0.8295112996787581
2021-03-28,12700,108,51.23382519738775,70.86467332497472,89.20327077080213,0.4743872703461829,0.6561543826386548,0.8259562108407604
2021-03-29,18992,151,51.91542210767816,71.80743218010514,90.38999991919057,0.34381074243495474,0.4755459084775175,0.598609270988017
2021-03-30,19985,144,47.530805410598724,65.74279756231739,82.75593884823037,0.33007503757360224,0.4565472052938708,0.5746940197793775
2021-03-31,19014,139,47.74545232520647,66.03968898951982,83.12966083307347,0.34349246277126955,0.4751056761835958,0.5980551139070034
2021-04-01,15454,114,46.22193563644056,63.932418801541594,80.47706420988106,0.4054555757582506,0.5608106912415929,0.7059391597357988
2021-04-02,12135,94,46.24577187564194,63.96538817866293,80.5185655128083,0.49197629654938235,0.6804828529644992,0.8565804841788117
2021-04-03,10921,93,49.77932763547012,68.85286776136202,86.67084342712168,0.5352615874781733,0.7403534167888389,0.9319445529798029
2021-04-04,15119,98,40.43743738493649,55.93152139904539,70.40566778741642,0.4126269120911886,0.5707298101943407,0.7184251815042492
2021-04-05,16331,90,34.914697997165455,48.292678875272244,60.790020017492886,0.3879410888573939,0.5365853208363582,0.6754446668610321
2021-04-06,19745,136,45.32618858445968,62.693455636564565,78.91747800853545,0.33328079841514474,0.4609812914453277,0.5802755735921725
2021-04-07,17043,131,49.11458332126247,67.93341877449694,85.51345635275894,0.3749204833684158,0.5185757158358546,0.6527744759752591
2021-04-08,18784,131,45.43775185794997,62.847765702238874,79.11172094969572,0.3468530676179387,0.479753936658312,0.6039062667915704
2021-04-09,16485,152,58.525944378585415,80.95085450764975,101.89958769243033,0.3850391077538514,0.5325714112345379,0.6703920242923048
2021-04-10,14262,85,36.74942797945126,50.83040742341996,63.98447045664328,0.43234621152295605,0.5980047932167054,0.7527584759605093
2021-04-11,15251,103,42.20603660981925,58.37778040530266,73.48497789034998,0.4097673457264005,0.5667745670417734,0.7134463872849512
2021-04-12,19222,123,41.88343154472741,57.93156538109476,72.9232898480742,0.34051570361567,0.47098833643166466,0.5928722751875952
2021-04-13,18257,127,45.06466966991167,62.331732646404326,78.46214713179074,0.35483991866072184,0.49080104445987655,0.6178121821400846
2021-04-14,17378,125,46.140912832194125,63.820351148332456,80.3359953141279,0.369127302657553,0.5105628091866596,0.6426879625130233
2021-04-15,20697,137,43.97143620664016,60.81961380803549,76.55871711726036,0.3209593883696362,0.4439387869199671,0.5588227526807326
2021-04-16,16652,116,44.30582940127073,61.28213372350722,77.14092948515643,0.3819468051833684,0.5282942562371312,0.6650080128030726
2021-04-17,12798,79,37.24683800461753,51.51840600260418,64.85051161183856,0.4714789620837662,0.6521317215519516,0.8208925520485892
2021-04-18,16007,110,43.36314099754607,59.97824307080234,75.49961364340598,0.39421037270496423,0.5452567551891122,0.6863601240309634
2021-04-19,20097,140,46.00436633917073,63.63148524607953,80.09825406129266,0.3286026167083624,0.45451060890056805,0.5721303861520904
2021-04-20,19963,135,44.59941133772942,61.68820506292226,77.65208532547179,0.3303660099091068,0.4569496671327574,0.5752006320405318
2021-04-21,19295,103,34.96692176520429,48.36491279978625,60.8809468788602,0.3394846773320805,0.46956226019209946,0.5910771541636912
2021-04-22,23703,111,31.963647241502887,44.210898001801375,55.65194222217789,0.28796078595948543,0.39829637839460696,0.5013688488484495
2021-04-23,19243,100,34.0218385713427,47.057709764683956,59.235461465304375,0.34021838571342694,0.4705770976468396,0.5923546146530437
2021-04-24,13405,88,39.98022380878217,55.299121015332254,69.60961271488085,0.4543207250997974,0.6283991024469574,0.7910183263054643
2021-04-25,16982,119,44.743700121248544,61.88777980615383,77.90330668901156,0.375997480010492,0.5200653765223011,0.654649636042114
2021-04-26,19565,140,47.00241333883889,65.01194579771645,81.83595481680692,0.33573152384884924,0.4643710414122603,0.5845425344057636
2021-04-27,19587,187,62.72537571454778,86.75934779557251,109.21122232252118,0.3354298166553357,0.4639537315271257,0.5840172316712363
2021-04-28,20476,187,60.53708617894488,83.73258915548435,105.40118894677296,0.3237277335772453,0.44776785644644035,0.5636427216404971
2021-04-29,23896,167,47.77847754968983,66.08536822068167,83.18716108862742,0.28609866796221456,0.395720767788513,0.4981267131055534
2021-04-30,14918,164,68.39925465723617,94.60724078833633,119.090019341784,0.41706862595875716,0.5768734194410752,0.7261586545230732
2021-05-01,11769,130,65.54320973072332,90.65686835490921,114.11735630263438,0.5041785363901794,0.6973605258069939,0.8778258177125721
2021-05-02,16294,136,52.85581116936957,73.10814247058993,92.02731237393651,0.3886456703630115,0.5375598711072789,0.6766714145142391
2021-05-03,18921,217,74.83081387913533,103.50312825085105,130.28801434877738,0.3448424602725131,0.47697294124816153,0.6004055960773151
2021-05-04,18031,190,68.09476943422456,94.1860884387339,118.55987977696778,0.358393523338024,0.4957162549407047,0.6239993672471988
2021-05-05,21547,210,65.26582751625713,90.27320385321383,113.63440581653064,0.31078965483931964,0.4298723993010182,0.5411162181739555
2021-05-06,24935,197,54.47468549799981,75.34730770977686,94.84593629132587,0.27652124618274015,0.3824736431968368,0.4814514532554613
2021-05-07,20704,186,59.68229850667683,82.5502794426312,103.91291716758987,0.32087257261654206,0.44381870668081286,0.5586715976752143
2021-05-08,14094,199,86.8563682544439,120.13641649498963,151.22572061952346,0.4364641620826326,0.6037005854019579,0.7599282443192134
2021-05-09,17433,150,55.229302489357245,76.39106515658071,96.15980078512396,0.3681953499290483,0.5092737677105381,0.641065338567493
2021-05-10,21496,184,57.29381003114878,79.2466132629802,99.7543171919954,0.3113794023431999,0.430688115559675,0.5421430282173663
