"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2008M08D20",153
" ","2008M08D21",135
" ","2008M08D22",133
" ","2008M08D23",153
" ","2008M08D24",132
" ","2008M08D25",128
" ","2008M08D26",131
" ","2008M08D27",104
" ","2008M08D28",141
" ","2008M08D29",124
" ","2008M08D30",133
" ","2008M08D31",138
" ","2008M09D01",136
" ","2008M09D02",139
" ","2008M09D03",142
" ","2008M09D04",127
" ","2008M09D05",132
" ","2008M09D06",115
" ","2008M09D07",157
" ","2008M09D08",122
" ","2008M09D09",143
" ","2008M09D10",126
" ","2008M09D11",144
" ","2008M09D12",126
" ","2008M09D13",153
" ","2008M09D14",138
" ","2008M09D15",146
" ","2008M09D16",151
" ","2008M09D17",138
" ","2008M09D18",161
" ","2008M09D19",128
" ","2008M09D20",150
" ","2008M09D21",158
" ","2008M09D22",155
" ","2008M09D23",150
" ","2008M09D24",155
" ","2008M09D25",125
" ","2008M09D26",154
" ","2008M09D27",151
" ","2008M09D28",146
" ","2008M09D29",152
" ","2008M09D30",162
" ","2008M10D01",174
" ","2008M10D02",152
" ","2008M10D03",126
" ","2008M10D04",143
" ","2008M10D05",140
" ","2008M10D06",126
" ","2008M10D07",167
" ","2008M10D08",148
" ","2008M10D09",152
" ","2008M10D10",144
" ","2008M10D11",144
" ","2008M10D12",121
" ","2008M10D13",155
" ","2008M10D14",179
" ","2008M10D15",147
" ","2008M10D16",137
" ","2008M10D17",140
" ","2008M10D18",147
" ","2008M10D19",137
" ","2008M10D20",140
" ","2008M10D21",140
" ","2008M10D22",156
" ","2008M10D23",133
" ","2008M10D24",151
" ","2008M10D25",135
" ","2008M10D26",145
" ","2008M10D27",161
" ","2008M10D28",151
" ","2008M10D29",134
" ","2008M10D30",150
" ","2008M10D31",138
" ","2008M11D01",134
" ","2008M11D02",144
" ","2008M11D03",159
" ","2008M11D04",153
" ","2008M11D05",127
" ","2008M11D06",144
" ","2008M11D07",170
" ","2008M11D08",142
" ","2008M11D09",144
" ","2008M11D10",141
" ","2008M11D11",164
" ","2008M11D12",137
" ","2008M11D13",146
" ","2008M11D14",162
" ","2008M11D15",170
" ","2008M11D16",114
" ","2008M11D17",145
" ","2008M11D18",137
" ","2008M11D19",155
" ","2008M11D20",146
" ","2008M11D21",146
" ","2008M11D22",160
" ","2008M11D23",129
" ","2008M11D24",136
" ","2008M11D25",125
" ","2008M11D26",142
" ","2008M11D27",161
" ","2008M11D28",142
" ","2008M11D29",161
" ","2008M11D30",140
" ","2008M12D01",152
" ","2008M12D02",144
" ","2008M12D03",161
" ","2008M12D04",156
" ","2008M12D05",163
" ","2008M12D06",166
" ","2008M12D07",144
" ","2008M12D08",160
" ","2008M12D09",165
" ","2008M12D10",148
" ","2008M12D11",159
" ","2008M12D12",145
" ","2008M12D13",167
" ","2008M12D14",159
" ","2008M12D15",165
" ","2008M12D16",182
" ","2008M12D17",170
" ","2008M12D18",183
" ","2008M12D19",171
" ","2008M12D20",158
" ","2008M12D21",178
" ","2008M12D22",177
" ","2008M12D23",172
" ","2008M12D24",168
" ","2008M12D25",167
" ","2008M12D26",134
" ","2008M12D27",181
" ","2008M12D28",182
" ","2008M12D29",192
" ","2008M12D30",165
" ","2008M12D31",188
" ","2009M01D01",178
" ","2009M01D02",160
" ","2009M01D03",188
" ","2009M01D04",194
" ","2009M01D05",187
" ","2009M01D06",192
" ","2009M01D07",188
" ","2009M01D08",186
" ","2009M01D09",188
" ","2009M01D10",174
" ","2009M01D11",181
" ","2009M01D12",201
" ","2009M01D13",185
" ","2009M01D14",186
" ","2009M01D15",190
" ","2009M01D16",207
" ","2009M01D17",170
" ","2009M01D18",170
" ","2009M01D19",204
" ","2009M01D20",185
" ","2009M01D21",210
" ","2009M01D22",180
" ","2009M01D23",209
" ","2009M01D24",166
" ","2009M01D25",210
" ","2009M01D26",155
" ","2009M01D27",184
" ","2009M01D28",171
" ","2009M01D29",178
" ","2009M01D30",181
" ","2009M01D31",183
" ","2009M02D01",175
" ","2009M02D02",186
" ","2009M02D03",183
" ","2009M02D04",181
" ","2009M02D05",187
" ","2009M02D06",180
" ","2009M02D07",173
" ","2009M02D08",171
" ","2009M02D09",187
" ","2009M02D10",168
" ","2009M02D11",179
" ","2009M02D12",170
" ","2009M02D13",150
" ","2009M02D14",170
" ","2009M02D15",161
" ","2009M02D16",147
" ","2009M02D17",200
" ","2009M02D18",171
" ","2009M02D19",176
" ","2009M02D20",175
" ","2009M02D21",165
" ","2009M02D22",188
" ","2009M02D23",158
" ","2009M02D24",175
" ","2009M02D25",181
" ","2009M02D26",172
" ","2009M02D27",153
" ","2009M02D28",141
" ","2009M03D01",159
" ","2009M03D02",144
" ","2009M03D03",171
" ","2009M03D04",184
" ","2009M03D05",167
" ","2009M03D06",170
" ","2009M03D07",161
" ","2009M03D08",153
" ","2009M03D09",170
" ","2009M03D10",148
" ","2009M03D11",155
" ","2009M03D12",148
" ","2009M03D13",156
" ","2009M03D14",145
" ","2009M03D15",169
" ","2009M03D16",178
" ","2009M03D17",174
" ","2009M03D18",138
" ","2009M03D19",152
" ","2009M03D20",134
" ","2009M03D21",175
" ","2009M03D22",148
" ","2009M03D23",162
" ","2009M03D24",159
" ","2009M03D25",163
" ","2009M03D26",164
" ","2009M03D27",163
" ","2009M03D28",142
" ","2009M03D29",151
" ","2009M03D30",157
" ","2009M03D31",144
" ","2009M04D01",155
" ","2009M04D02",164
" ","2009M04D03",159
" ","2009M04D04",156
" ","2009M04D05",165
" ","2009M04D06",162
" ","2009M04D07",158
" ","2009M04D08",128
" ","2009M04D09",133
" ","2009M04D10",150
" ","2009M04D11",160
" ","2009M04D12",161
" ","2009M04D13",148
" ","2009M04D14",150
" ","2009M04D15",140
" ","2009M04D16",143
" ","2009M04D17",157
" ","2009M04D18",147
" ","2009M04D19",139
" ","2009M04D20",140
" ","2009M04D21",149
" ","2009M04D22",133
